date,ticker,high,low,open,prev close,close,change,% change,volume,turnover,deals,bids,offers,mktcap
2026-08-26 00:00:00,AFRIPRISE,640,620,620,630,630,1.61,10.143,328844,207140765,413,22702,1841,92.0
2026-08-26 00:00:00,CRDB,2700,2600,2680,2660,2660,-0.75,-19.95,1566034,4205430530,2503,121000,485340,6947.5
2026-08-26 00:00:00,DCB,530,460,485,495,495,2.06,10.197,38865,19235940,170,6673,64222,94.8
2026-08-26 00:00:00,DSE,6560,6500,6360,6510,6510,2.36,153.636,3847,25066550,39,1096,766,155.1
2026-08-26 00:00:00,EABL,0,0,5710,0,5710,0.0,0.0,0,0,0,0,0,4515.3
2026-08-26 00:00:00,IEACLC-ETF,1390,1370,1390,1390,1390,0.0,0.0,142621,197644650,117,306757,56011,196.2
2026-08-26 00:00:00,JATU,0,0,270,0,270,0.0,0.0,0,0,0,225,0,5.4
2026-08-26 00:00:00,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,21,0,626.9
2026-08-26 00:00:00,KA,0,0,115,0,115,0.0,0.0,0,0,0,0,0,653.4
2026-08-26 00:00:00,KCB,1990,1970,1980,1980,1980,0.0,0.0,25316,50006160,57,24364,23475,5881.3
2026-08-26 00:00:00,MBP,2380,2110,2070,2330,2330,12.56,292.648,25121,58526390,111,11335,5996,69.9
2026-08-26 00:00:00,MCB,420,390,420,405,405,-3.57,-14.4585,131910,53150810,254,19195,73712,100.2
2026-08-26 00:00:00,MKCB,3800,3740,3790,3800,3800,0.26,9.88,1141,4322230,29,1662,2124,89.5
2026-08-26 00:00:00,MUCOBA,470,460,470,465,465,-1.06,-4.929,758,352460,17,126,3245,15.2
2026-08-26 00:00:00,NICO,4000,3800,3820,3880,3880,1.57,60.91600000000001,42605,165215640,131,16217,36802,239.2
2026-08-26 00:00:00,NMB,1940,1940,1850,1940,1940,4.86,94.284,1998754,3877582760,497,4924570,0,9700.0
2026-08-26 00:00:00,NMG,290,290,260,250,250,-3.85,-9.625,33,9570,1,1300,0,47.1
2026-08-26 00:00:00,PAL,320,305,305,315,315,3.28,10.332,34449,10857990,65,14178,7616,50.6
2026-08-26 00:00:00,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-26 00:00:00,SWIS,2700,2550,2640,2620,2620,-0.76,-19.912,4084,10715430,56,284,2253,94.3
2026-08-26 00:00:00,TBL,9880,9800,9880,9850,9850,-0.3,-29.55,401060,3970456800,33,661,515,2906.3
2026-08-26 00:00:00,TCC,12410,12400,12410,12410,12410,0.0,0.0,544,6746540,29,10413,691,1241.0
2026-08-26 00:00:00,TCCL,3980,3980,4000,3980,3980,-0.5,-19.9,1557,6196860,15,108,16975,760.2
2026-08-26 00:00:00,TOL,2000,1830,1810,1980,1980,9.39,185.92200000000005,7816,15434730,81,14277,5966,113.9
2026-08-26 00:00:00,TPCC,5900,5830,5940,5850,5850,-1.52,-88.92,10245,59974210,71,130,16110,1052.6
2026-08-26 00:00:00,TTP,485,475,475,480,480,1.05,5.04,927,445100,34,101,1232,45.6
2026-08-26 00:00:00,USL,0,0,30,0,30,0.0,0.0,0,0,0,236,0,11.0
2026-08-26 00:00:00,VERTEX-ETF,350,335,350,345,345,-1.43,-4.9335,28717,9975965,293,0,172030,18.6
2026-08-26 00:00:00,VODA,1040,1020,1020,1030,1030,0.98,10.094,109771,112918610,376,184894,85123,2307.2
2026-08-26 00:00:00,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-10,AFRIPRISE,645,630,640,635,635,0.0,0.0,51224,32583365,207,14378,21492,92.7
2026-08-10,CRDB,2620,2580,2590,2600,2600,0.0,0.0,2869227,7453641800,1739,129405,58236,6790.8
2026-08-10,DCB,420,390,420,410,410,0.0,0.0,14097,5769690,116,4055,95305,78.6
2026-08-10,DSE,6580,5760,6580,6450,6450,0.0,0.0,2411,15493780,32,1282,4500,153.7
2026-08-10,EABL,0,0,5830,0,5680,0.0,0.0,0,0,0,20,0,4491.6
2026-08-10,IEACLC-ETF,1380,1350,1360,1360,1360,0.0,0.0,421262,573539140,112,105906,48940,188.9
2026-08-10,JATU,0,0,265,0,265,0.0,0.0,0,0,0,0,0,5.3
2026-08-10,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,0,0,626.9
2026-08-10,KA,0,0,110,0,110,0.0,0.0,0,0,0,230,0,625.0
2026-08-10,KCB,1900,1880,1890,1900,1900,0.0,0.0,5425,10287840,53,10141,23591,5643.7
2026-08-10,MBP,1790,1600,1600,1660,1660,0.0,0.0,1232,2049600,13,4005,23587,49.8
2026-08-10,MCB,540,470,470,525,525,0.0,0.0,376487,197649400,621,102784,137956,129.8
2026-08-10,MKCB,3800,3500,3670,3740,3740,0.0,0.0,2692,10029550,21,1039,818,88.1
2026-08-10,MUCOBA,465,445,440,455,455,0.0,0.0,1455,666475,29,2688,1705,14.9
2026-08-10,NICO,3730,3500,3550,3590,3590,0.0,0.0,17044,61151520,126,6476,12387,221.3
2026-08-10,NMB,17660,17570,17580,17600,17600,0.0,0.0,95563,1681576840,528,12100,20114,8800.0
2026-08-10,NMG,0,0,265,0,265,0.0,0.0,0,0,0,2843,0,50.0
2026-08-10,PAL,310,300,310,310,310,0.0,0.0,5749,1771480,58,4655,15362,49.8
2026-08-10,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-10,SWIS,2690,2550,2690,2620,2620,0.0,0.0,1305,3429910,24,10151,21238,94.3
2026-08-10,TBL,10110,9950,10000,9950,9950,0.0,0.0,1100,10970760,23,352,944,2935.8
2026-08-10,TCC,12500,12500,12300,12500,12500,0.0,0.0,1614,20175000,13,279,0,1250.0
2026-08-10,TCCL,4000,3620,3710,3850,3850,0.0,0.0,2046,7866260,21,20117,17999,735.4
2026-08-10,TOL,1500,1480,1500,1500,1500,0.0,0.0,3406,5100790,29,3987,26585,86.3
2026-08-10,TPCC,5950,5850,5850,5850,5850,0.0,0.0,2739,16039250,33,979,0,1052.6
2026-08-10,TTP,450,450,450,450,450,0.0,0.0,352,158400,16,46,1529,42.8
2026-08-10,USL,0,0,30,0,30,0.0,0.0,0,0,0,1686,0,11.0
2026-08-10,VERTEX-ETF,320,310,320,320,320,0.0,0.0,21246,6751625,182,2578,17949,17.3
2026-08-10,VODA,1050,1010,1020,1030,1030,0.0,0.0,203088,210145280,323,136195,74917,2307.2
2026-08-10,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-11,AFRIPRISE,640,620,635,630,630,,,57149,35937360,176,7197,38536,92.0
2026-08-11,CRDB,2620,2590,2600,2600,2600,0.0,0.0,553818,1442616130,1035,435736,138838,6790.8
2026-08-11,DCB,420,390,410,400,400,,,21550,8608950,100,18979,96752,76.6
2026-08-11,DSE,6570,5800,6450,6090,6090,,,1242,7567340,21,3464,1454,145.1
2026-08-11,EABL,0,0,5680,0,5510,,,0,0,0,45,0,4357.2
2026-08-11,IEACLC-ETF,1370,1340,1360,1350,1350,,,95112,128704150,79,23128,54116,187.5
2026-08-11,JATU,0,0,265,0,265,0.0,0.0,0,0,0,0,0,5.3
2026-08-11,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,11,0,626.9
2026-08-11,KA,0,0,110,0,110,0.0,0.0,0,0,0,202,0,625.0
2026-08-11,KCB,1930,1880,1900,1900,1900,0.0,0.0,18977,35987640,43,12494,0,5643.7
2026-08-11,MBP,1700,1650,1660,1680,1680,1.2,20.16,2480,4178510,20,15113,21901,50.4
2026-08-11,MCB,515,450,525,475,475,,,232164,110353875,595,2793,241297,117.5
2026-08-11,MKCB,3880,3740,3740,3870,3870,3.48,134.676,1285,4966000,9,1378,2154,91.2
2026-08-11,MUCOBA,465,465,455,465,465,2.2,10.23,3625,1685625,29,2724,500,15.2
2026-08-11,NICO,3700,3600,3590,3610,3610,0.56,20.216000000000005,7589,27442940,49,7249,9631,222.5
2026-08-11,NMB,17600,17570,17600,17600,17600,0.0,0.0,115239,2026478370,486,11414,58384,8800.0
2026-08-11,NMG,0,0,265,0,270,1.89,5.103,0,0,0,343,0,50.9
2026-08-11,PAL,310,300,310,305,305,,,5738,1749860,40,3560,9532,48.9
2026-08-11,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-11,SWIS,2680,2300,2620,2340,2340,,,14675,34455560,55,2605,9957,84.2
2026-08-11,TBL,10000,9950,9950,9970,9970,0.2,19.94,4983,49704950,33,41,764,2941.7
2026-08-11,TCC,12500,12500,12500,12500,12500,0.0,0.0,664,8300000,18,10123,0,1250.0
2026-08-11,TCCL,3740,3610,3850,3660,3660,,,2781,10213400,31,28603,37883,699.1
2026-08-11,TOL,1460,1330,1500,1460,1460,,,3258,4741550,30,784,28134,84.0
2026-08-11,TPCC,5900,5850,5850,5870,5870,0.34,19.958,1155,6783750,30,11045,0,1056.2
2026-08-11,TTP,455,450,450,450,450,0.0,0.0,1170,527980,19,220,259,42.8
2026-08-11,USL,0,0,30,0,30,0.0,0.0,0,0,0,1916,0,11.0
2026-08-11,VERTEX-ETF,320,315,320,320,320,0.0,0.0,40263,12822960,118,11283,1429,17.3
2026-08-11,VODA,1030,1000,1030,1010,1010,,,136592,138173600,169,125749,98452,2262.4
2026-08-11,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-12,AFRIPRISE,640,620,630,630,630,0.0,0.0,60877,38261185,162,27611,58946,92.0
2026-08-12,CRDB,2640,2610,2600,2620,2620,0.77,20.174,340739,894277490,1064,431200,35034,6843.0
2026-08-12,DCB,410,400,400,405,405,1.25,5.0625,18780,7613580,92,42372,15266,77.6
2026-08-12,DSE,6300,6200,6090,6220,6220,2.13,132.486,1320,8234300,18,3140,414,148.2
2026-08-12,EABL,0,0,5510,0,5530,0.36,19.908,0,0,0,0,0,4373.0
2026-08-12,IEACLC-ETF,1360,1340,1350,1360,1360,0.74,10.064,9333,12658400,68,100056,65676,188.9
2026-08-12,JATU,270,270,265,265,265,0.0,0.0,40,10800,1,0,360,5.3
2026-08-12,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,111,0,626.9
2026-08-12,KA,0,0,110,0,110,0.0,0.0,0,0,0,222,0,625.0
2026-08-12,KCB,1940,1910,1900,1930,1930,1.58,30.494000000000003,4766,9217670,34,9744,34532,5732.8
2026-08-12,MBP,1700,1690,1680,1700,1700,1.19,20.23,15989,27174450,17,2844,14277,51.0
2026-08-12,MCB,505,410,475,455,455,,,104593,47360055,263,17270,213091,112.5
2026-08-12,MKCB,3850,3740,3870,3820,3820,,,556,2115600,15,629,4276,90.0
2026-08-12,MUCOBA,475,465,465,465,465,0.0,0.0,875,407875,13,2180,3050,15.2
2026-08-12,NICO,3730,3600,3610,3660,3660,1.39,50.874,8365,30578830,56,2100,16754,225.6
2026-08-12,NMB,17700,17580,17600,17600,17600,0.0,0.0,199132,3503601310,385,25169,6886,8800.0
2026-08-12,NMG,0,0,270,0,280,3.7,10.36,0,0,0,354,0,52.8
2026-08-12,PAL,310,300,305,300,300,,,1679,507495,31,710,4052,48.1
2026-08-12,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-12,SWIS,2600,2500,2340,2590,2590,10.68,276.612,1566,4038500,27,12684,3393,93.2
